00090bdd,0,2,['0.04', '0.0', '0.96', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.01']
1ef94c76,7,2,['0.0', '0.0', '0.67', '0.0', '0.0', '0.0', '0.0', '0.33', '0.0', '0.0']
1f0f7486,8,0,['0.98', '0.0', '0.0', '0.0', '0.02', '0.01', '0.0', '0.0', '0.0', '0.0']
1f1369e2,7,9,['0.0', '0.02', '0.0', '0.01', '0.0', '0.0', '0.0', '0.0', '0.0', '0.97']
1f3a7397,6,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.1', '0.0', '0.0', '0.9', '0.0']
1f4a3d00,1,4,['0.0', '0.07', '0.0', '0.0', '0.81', '0.01', '0.0', '0.0', '0.11', '0.0']
1f59f221,8,1,['0.0', '0.76', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.24', '0.0']
1fa6b0d9,7,4,['0.0', '0.0', '0.0', '0.0', '0.96', '0.0', '0.0', '0.04', '0.0', '0.0']
1ffb957a,3,9,['0.0', '0.0', '0.0', '0.17', '0.0', '0.23', '0.0', '0.0', '0.0', '0.6']
201e81e2,8,3,['0.0', '0.0', '0.0', '0.63', '0.0', '0.0', '0.0', '0.36', '0.0', '0.0']
2028ae25,3,2,['0.0', '0.0', '0.65', '0.0', '0.0', '0.0', '0.0', '0.0', '0.35', '0.0']
2035251c,6,0,['0.73', '0.0', '0.0', '0.0', '0.0', '0.02', '0.25', '0.0', '0.0', '0.0']
203646d2,8,1,['0.0', '0.74', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.07', '0.19']
207f266e,8,2,['0.0', '0.0', '0.95', '0.0', '0.0', '0.0', '0.0', '0.01', '0.05', '0.0']
20805059,5,0,['0.81', '0.0', '0.03', '0.0', '0.05', '0.01', '0.1', '0.0', '0.0', '0.0']
208fc5d6,7,2,['0.0', '0.0', '0.61', '0.0', '0.0', '0.0', '0.0', '0.39', '0.0', '0.0']
20901470,2,3,['0.0', '0.0', '0.03', '0.97', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
20a3e8d6,0,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0']
20a92f57,9,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0']
2103370e,2,6,['0.0', '0.0', '0.44', '0.0', '0.0', '0.0', '0.56', '0.0', '0.0', '0.0']
210de434,3,1,['0.0', '0.95', '0.0', '0.05', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
21111b7c,5,6,['0.0', '0.26', '0.07', '0.0', '0.0', '0.05', '0.56', '0.0', '0.06', '0.0']
2124336e,8,5,['0.04', '0.0', '0.0', '0.14', '0.0', '0.52', '0.0', '0.0', '0.3', '0.0']
214214b9,7,9,['0.0', '0.0', '0.0', '0.0', '0.22', '0.0', '0.0', '0.26', '0.0', '0.51']
214a1e89,7,2,['0.0', '0.0', '0.72', '0.0', '0.01', '0.0', '0.26', '0.0', '0.01', '0.0']
2156424b,9,7,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.64', '0.0', '0.36']
21886495,6,2,['0.0', '0.0', '0.99', '0.0', '0.01', '0.0', '0.01', '0.0', '0.0', '0.0']
218ce47e,8,0,['1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
218f26f0,3,2,['0.0', '0.0', '0.32', '0.19', '0.0', '0.0', '0.0', '0.16', '0.32', '0.01']
21981e55,8,3,['0.0', '0.0', '0.0', '0.93', '0.0', '0.0', '0.0', '0.0', '0.07', '0.0']
21a89be2,9,4,['0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0']
21b2d432,7,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.14', '0.0', '0.86']
21e9e565,2,6,['0.0', '0.12', '0.13', '0.0', '0.01', '0.0', '0.74', '0.0', '0.0', '0.0']
22187acd,3,0,['0.95', '0.0', '0.0', '0.0', '0.0', '0.05', '0.0', '0.0', '0.0', '0.0']
2223a98c,5,6,['0.0', '0.0', '0.03', '0.0', '0.0', '0.0', '0.69', '0.0', '0.27', '0.0']
2226ad71,4,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.01', '0.0', '0.99']
224e92a0,4,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0']
22618b43,7,9,['0.0', '0.0', '0.0', '0.0', '0.05', '0.0', '0.0', '0.34', '0.0', '0.6']
22c193ab,4,6,['0.0', '0.0', '0.0', '0.0', '0.19', '0.0', '0.81', '0.0', '0.0', '0.0']
22e04fa6,5,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0']
23340425,7,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0']
234a824c,4,9,['0.0', '0.0', '0.0', '0.0', '0.01', '0.0', '0.0', '0.0', '0.0', '0.99']
234da522,8,2,['0.41', '0.0', '0.57', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.02']
235f1152,3,0,['1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
23bbfa59,7,8,['0.0', '0.0', '0.0', '0.0', '0.25', '0.11', '0.01', '0.0', '0.63', '0.0']
23d45f88,1,2,['0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
23deb0d6,8,9,['0.3', '0.0', '0.07', '0.0', '0.0', '0.0', '0.0', '0.0', '0.01', '0.62']
23ef2a1b,3,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.01', '0.98']
23f8c7a1,7,4,['0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0']
23fdcd5b,9,4,['0.0', '0.0', '0.0', '0.0', '0.97', '0.01', '0.0', '0.0', '0.0', '0.01']
24383661,3,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0']
2445a56e,2,8,['0.0', '0.0', '0.03', '0.0', '0.0', '0.0', '0.0', '0.0', '0.96', '0.0']
2454b71d,6,2,['0.01', '0.0', '0.54', '0.0', '0.0', '0.0', '0.45', '0.0', '0.0', '0.0']
2472e8e7,6,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.23', '0.0', '0.76', '0.0']
24901140,8,3,['0.0', '0.0', '0.0', '0.92', '0.0', '0.0', '0.0', '0.0', '0.08', '0.0']
249afbed,9,3,['0.01', '0.0', '0.0', '0.97', '0.0', '0.0', '0.0', '0.0', '0.0', '0.02']
24ca2a38,7,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.04', '0.0', '0.96']
25102884,6,0,['1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
2556dc7f,8,1,['0.0', '0.98', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.02', '0.0']
25dfd9b6,9,4,['0.0', '0.0', '0.0', '0.0', '0.83', '0.0', '0.0', '0.0', '0.0', '0.17']
25ec9244,8,3,['0.0', '0.0', '0.36', '0.64', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
25f13f26,5,6,['0.0', '0.0', '0.0', '0.0', '0.0', '0.15', '0.85', '0.0', '0.0', '0.0']
2642de2e,2,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0']
2653c872,8,1,['0.0', '0.82', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.18', '0.0']
2666c313,5,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.27', '0.0', '0.0', '0.73', '0.0']
26895dee,4,9,['0.0', '0.0', '0.0', '0.0', '0.08', '0.0', '0.0', '0.0', '0.0', '0.92']
2693a920,4,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0']
269670c3,7,0,['0.65', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.21', '0.0', '0.14']
2697dfb8,3,1,['0.0', '0.74', '0.26', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
2735fec6,6,0,['0.77', '0.0', '0.0', '0.0', '0.0', '0.0', '0.22', '0.0', '0.0', '0.0']
27389fe3,2,3,['0.0', '0.03', '0.42', '0.55', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
274bdfaa,1,2,['0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
27650eba,3,5,['0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0']
27970a16,2,8,['0.0', '0.0', '0.3', '0.0', '0.0', '0.0', '0.0', '0.0', '0.7', '0.0']
27ae975d,6,5,['0.0', '0.0', '0.0', '0.0', '0.0', '0.8', '0.0', '0.0', '0.2', '0.0']
27c9dcc4,1,4,['0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0']
27f32c29,8,6,['0.0', '0.0', '0.01', '0.0', '0.0', '0.0', '0.99', '0.0', '0.0', '0.0']
28277535,7,0,['0.79', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.01', '0.0', '0.2']
2840a4db,2,3,['0.21', '0.0', '0.0', '0.78', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
28b5ecb2,3,9,['0.0', '0.0', '0.04', '0.11', '0.0', '0.0', '0.0', '0.0', '0.22', '0.63']
28f72e21,3,6,['0.0', '0.0', '0.0', '0.02', '0.0', '0.0', '0.98', '0.0', '0.0', '0.0']
297ef552,8,0,['0.94', '0.0', '0.05', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.01']
299cc67e,4,6,['0.0', '0.0', '0.0', '0.0', '0.2', '0.0', '0.8', '0.0', '0.0', '0.0']
299e606f,4,2,['0.0', '0.0', '0.43', '0.0', '0.11', '0.0', '0.0', '0.19', '0.0', '0.26']
29a4b3eb,3,5,['0.0', '0.0', '0.02', '0.2', '0.0', '0.72', '0.0', '0.0', '0.0', '0.05']
29ca9109,9,4,['0.0', '0.0', '0.0', '0.0', '0.97', '0.0', '0.0', '0.0', '0.0', '0.03']
2a06c7ad,8,6,['0.0', '0.0', '0.0', '0.0', '0.0', '0.12', '0.88', '0.0', '0.0', '0.0']
2a143095,6,1,['0.0', '0.81', '0.0', '0.0', '0.0', '0.0', '0.19', '0.0', '0.0', '0.0']
2a20a941,0,4,['0.0', '0.0', '0.01', '0.0', '0.98', '0.0', '0.0', '0.0', '0.0', '0.01']
2a30133d,8,1,['0.0', '0.71', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.29', '0.0']
2a35f0be,3,5,['0.0', '0.0', '0.0', '0.02', '0.19', '0.79', '0.0', '0.0', '0.0', '0.0']
2a457891,8,1,['0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
2a72d5d2,8,4,['0.0', '0.0', '0.0', '0.0', '0.86', '0.0', '0.0', '0.0', '0.01', '0.13']
2a7fce40,2,3,['0.0', '0.0', '0.49', '0.51', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
2a83aad1,0,6,['0.01', '0.0', '0.0', '0.0', '0.0', '0.0', '0.99', '0.0', '0.0', '0.0']
2a870269,3,7,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0']
2a926f10,5,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0']
2aa6b0aa,3,8,['0.0', '0.0', '0.0', '0.24', '0.0', '0.0', '0.0', '0.01', '0.75', '0.0']
2aba9250,5,9,['0.0', '0.0', '0.0', '0.0', '0.06', '0.0', '0.0', '0.02', '0.0', '0.92']
2ae4aa8b,6,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.21', '0.0', '0.79', '0.0']
2b0b13a1,8,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.1', '0.9']
2b61798b,9,7,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.75', '0.0', '0.25']
2b696cd5,3,8,['0.0', '0.0', '0.0', '0.01', '0.0', '0.0', '0.0', '0.0', '0.99', '0.0']
2b7ad2a6,2,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0']
2bf6c990,9,6,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0']
2c382c35,2,1,['0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
2c3be70c,4,9,['0.0', '0.0', '0.0', '0.0', '0.24', '0.0', '0.0', '0.0', '0.0', '0.76']
2c458492,8,3,['0.0', '0.0', '0.0', '0.98', '0.0', '0.0', '0.0', '0.0', '0.02', '0.0']
2c4e5f1e,9,4,['0.0', '0.0', '0.0', '0.0', '0.94', '0.0', '0.0', '0.0', '0.0', '0.06']
2c929791,8,2,['0.04', '0.0', '0.67', '0.0', '0.0', '0.0', '0.0', '0.0', '0.28', '0.0']
2cb4de4b,7,8,['0.0', '0.0', '0.0', '0.01', '0.0', '0.0', '0.0', '0.03', '0.73', '0.24']
2ce22f78,5,6,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.99', '0.0', '0.01', '0.0']
2d038a02,8,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.04', '0.96']
2d27c930,9,0,['1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
2d704ff2,1,4,['0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0']
2d977797,5,6,['0.02', '0.0', '0.0', '0.0', '0.04', '0.0', '0.93', '0.0', '0.0', '0.0']
2da3ac8b,2,0,['1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
2db31595,4,9,['0.0', '0.0', '0.0', '0.0', '0.47', '0.0', '0.0', '0.0', '0.0', '0.53']
2dd228e1,3,2,['0.0', '0.0', '0.99', '0.01', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
2df2cdca,0,6,['0.24', '0.0', '0.0', '0.0', '0.0', '0.0', '0.76', '0.0', '0.0', '0.0']
2e068e46,0,6,['0.14', '0.0', '0.02', '0.0', '0.0', '0.0', '0.84', '0.0', '0.0', '0.0']
2e126556,0,3,['0.01', '0.0', '0.0', '0.99', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
2e40d4f6,5,6,['0.02', '0.0', '0.0', '0.0', '0.0', '0.29', '0.6', '0.0', '0.09', '0.0']
2e6fd1aa,3,5,['0.0', '0.0', '0.0', '0.05', '0.0', '0.95', '0.0', '0.0', '0.0', '0.0']
2eae9b94,2,1,['0.0', '0.9', '0.1', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
2ef0609b,9,4,['0.0', '0.0', '0.0', '0.0', '0.78', '0.0', '0.0', '0.0', '0.0', '0.22']
2f2da63b,3,1,['0.0', '0.88', '0.0', '0.12', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
2f316db8,6,1,['0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
2f334bb4,4,9,['0.0', '0.0', '0.0', '0.0', '0.08', '0.0', '0.0', '0.0', '0.0', '0.92']
2f4b7350,5,3,['0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
2f60642e,8,3,['0.0', '0.0', '0.0', '0.66', '0.0', '0.0', '0.0', '0.0', '0.18', '0.15']
2f7b4e55,5,4,['0.0', '0.0', '0.0', '0.0', '0.96', '0.04', '0.0', '0.0', '0.0', '0.0']
2fd16a8c,8,0,['1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
2fd40b4f,7,4,['0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0']
2ff8e195,7,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.02', '0.98']
300b300d,8,7,['0.0', '0.01', '0.0', '0.0', '0.0', '0.0', '0.0', '0.99', '0.0', '0.0']
302400b6,8,5,['0.0', '0.0', '0.0', '0.0', '0.0', '0.91', '0.0', '0.0', '0.09', '0.0']
3058ca22,6,4,['0.0', '0.0', '0.0', '0.0', '0.86', '0.0', '0.14', '0.0', '0.0', '0.0']
307b613c,4,6,['0.24', '0.0', '0.0', '0.0', '0.01', '0.0', '0.75', '0.0', '0.0', '0.0']
30e1eb67,3,8,['0.0', '0.0', '0.07', '0.0', '0.0', '0.0', '0.0', '0.0', '0.93', '0.0']
3133e254,2,3,['0.05', '0.08', '0.09', '0.73', '0.02', '0.0', '0.0', '0.01', '0.0', '0.01']
31436a84,1,2,['0.0', '0.08', '0.92', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
3169468c,3,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.41', '0.0', '0.0', '0.0', '0.59']
318763e3,3,1,['0.0', '0.56', '0.0', '0.4', '0.0', '0.0', '0.0', '0.0', '0.0', '0.04']
31d43c0f,8,3,['0.0', '0.0', '0.0', '0.57', '0.0', '0.0', '0.0', '0.0', '0.43', '0.0']
32013a34,9,3,['0.0', '0.0', '0.0', '0.98', '0.0', '0.0', '0.0', '0.0', '0.0', '0.02']
320c68b4,3,1,['0.0', '0.88', '0.0', '0.05', '0.0', '0.0', '0.0', '0.0', '0.0', '0.06']
321ac7e3,3,8,['0.0', '0.0', '0.0', '0.01', '0.0', '0.0', '0.0', '0.0', '0.99', '0.0']
325e1062,5,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0']
3286894f,7,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.02', '0.0', '0.98']
32c13792,4,6,['0.0', '0.0', '0.0', '0.0', '0.28', '0.0', '0.72', '0.0', '0.0', '0.0']
32e24104,2,8,['0.0', '0.0', '0.02', '0.0', '0.0', '0.0', '0.0', '0.0', '0.98', '0.0']
32ff385f,7,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.03', '0.0', '0.96']
335fa7c7,2,8,['0.0', '0.0', '0.12', '0.0', '0.0', '0.0', '0.0', '0.0', '0.88', '0.0']
33b70bc3,5,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.13', '0.0', '0.0', '0.87', '0.0']
33f3557d,5,1,['0.0', '0.6', '0.0', '0.01', '0.0', '0.39', '0.0', '0.0', '0.0', '0.0']
33f3ea66,7,0,['0.62', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.38', '0.0', '0.01']
340a15a1,8,5,['0.0', '0.0', '0.0', '0.0', '0.0', '0.99', '0.0', '0.0', '0.01', '0.0']
3439eade,3,9,['0.0', '0.0', '0.0', '0.2', '0.0', '0.0', '0.0', '0.0', '0.0', '0.8']
34512d97,8,6,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0']
3484a23c,8,9,['0.0', '0.0', '0.0', '0.01', '0.0', '0.0', '0.0', '0.0', '0.31', '0.67']
34a0cfde,9,7,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0']
34a73a91,1,6,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0']
34e93ae7,7,4,['0.0', '0.0', '0.0', '0.0', '0.98', '0.0', '0.0', '0.02', '0.0', '0.0']
3501d463,3,0,['0.97', '0.0', '0.0', '0.02', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
350fce67,6,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.06', '0.24', '0.0', '0.7', '0.0']
35287abf,8,3,['0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
35423407,8,6,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.86', '0.0', '0.14', '0.0']
35793416,5,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.45', '0.0', '0.02', '0.0', '0.53']
35844e67,9,4,['0.0', '0.0', '0.0', '0.0', '0.71', '0.0', '0.0', '0.0', '0.0', '0.29']
359fe089,8,5,['0.0', '0.0', '0.0', '0.0', '0.0', '0.6', '0.0', '0.0', '0.4', '0.0']
35c3bef9,5,1,['0.0', '0.98', '0.0', '0.0', '0.0', '0.02', '0.0', '0.0', '0.0', '0.0']
35fa1e9d,2,4,['0.0', '0.0', '0.03', '0.0', '0.97', '0.0', '0.0', '0.0', '0.0', '0.0']
35fd1d17,9,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0']
362890c7,7,2,['0.0', '0.0', '0.96', '0.0', '0.0', '0.0', '0.0', '0.04', '0.0', '0.0']
364c230c,3,8,['0.0', '0.0', '0.0', '0.03', '0.0', '0.0', '0.0', '0.0', '0.7', '0.26']
36747d41,8,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.01', '0.99']
36dfb9f2,4,9,['0.0', '0.0', '0.0', '0.0', '0.11', '0.01', '0.0', '0.0', '0.0', '0.87']
36e58b8e,3,1,['0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
3724e995,2,1,['0.0', '0.73', '0.26', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
3725196f,0,1,['0.01', '0.95', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.04', '0.0']
378cc029,7,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.06', '0.0', '0.94']
37a9c11b,8,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.01', '0.99']
37c5af9f,6,0,['1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
37eb3f01,4,9,['0.0', '0.0', '0.0', '0.0', '0.21', '0.0', '0.0', '0.0', '0.0', '0.79']
37f3a74a,7,4,['0.0', '0.0', '0.0', '0.0', '0.41', '0.0', '0.0', '0.31', '0.27', '0.0']
37f6cc03,7,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.26', '0.0', '0.74']
38238a7f,1,9,['0.0', '0.06', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.94']
3842e635,6,0,['1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
386ee453,7,4,['0.0', '0.0', '0.0', '0.0', '0.97', '0.0', '0.0', '0.01', '0.0', '0.02']
3881ea2c,5,6,['0.0', '0.0', '0.0', '0.0', '0.0', '0.42', '0.58', '0.0', '0.0', '0.0']
38918900,2,1,['0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
38d2cdf9,1,2,['0.0', '0.03', '0.95', '0.02', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
3909cab8,2,1,['0.0', '0.99', '0.01', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
390ebd79,7,4,['0.0', '0.0', '0.0', '0.0', '0.96', '0.0', '0.0', '0.04', '0.0', '0.0']
391a8680,3,9,['0.0', '0.0', '0.0', '0.44', '0.0', '0.04', '0.0', '0.0', '0.0', '0.52']
393926e8,6,0,['1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
3939c964,5,2,['0.0', '0.0', '0.98', '0.0', '0.01', '0.0', '0.0', '0.0', '0.0', '0.01']
3969c9bd,6,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.08', '0.0', '0.92', '0.0']
39928387,0,9,['0.07', '0.0', '0.0', '0.0', '0.0', '0.0', '0.06', '0.0', '0.24', '0.63']
39f870b6,5,3,['0.0', '0.0', '0.0', '0.63', '0.0', '0.27', '0.0', '0.0', '0.0', '0.1']
3a02f725,5,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.01', '0.0', '0.0', '0.99', '0.0']
3a18ecbb,9,4,['0.0', '0.0', '0.0', '0.0', '0.54', '0.0', '0.0', '0.0', '0.0', '0.46']
3a78341a,4,6,['0.0', '0.0', '0.0', '0.0', '0.27', '0.0', '0.73', '0.0', '0.0', '0.0']
3a7db936,7,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.99']
3aa789cf,2,7,['0.0', '0.0', '0.02', '0.0', '0.0', '0.0', '0.0', '0.98', '0.0', '0.0']
3ab0b7b7,4,9,['0.0', '0.0', '0.0', '0.0', '0.31', '0.0', '0.0', '0.0', '0.0', '0.69']
3ac12563,7,4,['0.0', '0.0', '0.0', '0.0', '0.86', '0.0', '0.0', '0.11', '0.0', '0.03']
3ad8e733,8,0,['1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
3aee474e,6,0,['0.92', '0.0', '0.0', '0.0', '0.0', '0.0', '0.01', '0.0', '0.07', '0.0']
3b2207b0,2,6,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.99', '0.0', '0.0', '0.0']
3b39dc76,3,6,['0.0', '0.0', '0.0', '0.0', '0.0', '0.01', '0.99', '0.0', '0.0', '0.0']
3b494f5a,0,3,['0.14', '0.0', '0.0', '0.86', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
3b68894e,8,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.39', '0.6']
3bb3aa14,8,0,['0.81', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.03', '0.0', '0.16']
3bbd8036,7,1,['0.0', '0.66', '0.0', '0.0', '0.0', '0.0', '0.0', '0.29', '0.04', '0.01']
3be2cd54,6,1,['0.0', '0.61', '0.0', '0.0', '0.0', '0.0', '0.39', '0.0', '0.0', '0.0']
3c233c9e,2,7,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0']
3c2c7e21,8,1,['0.0', '0.99', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.01', '0.0']
3c75d2ba,7,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0']
3cc48989,6,5,['0.0', '0.0', '0.0', '0.0', '0.0', '0.65', '0.25', '0.0', '0.1', '0.0']
3cfc3a24,2,7,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0']
3d1b8f06,8,2,['0.0', '0.0', '0.98', '0.0', '0.0', '0.0', '0.0', '0.0', '0.02', '0.0']
3d225889,9,7,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.54', '0.0', '0.46']
3d5b7e20,4,9,['0.0', '0.0', '0.0', '0.0', '0.06', '0.0', '0.0', '0.0', '0.0', '0.94']
3d668713,5,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.08', '0.0', '0.0', '0.0', '0.92']
3d7ef1a0,8,9,['0.0', '0.0', '0.02', '0.0', '0.0', '0.0', '0.0', '0.0', '0.07', '0.9']
3d80bba3,5,8,['0.01', '0.0', '0.0', '0.0', '0.0', '0.01', '0.0', '0.0', '0.98', '0.0']
